W11,1929,Field and Stream,,"Field and Stream, September 1929, p.110",eng,https://archive.org/details/sim_field-stream_1929-09_34_5/page/110/mode/1up,Field and Stream,Popular Print Media,,Reader Question,QUES... ANS. This sounds like an old hex trick.,"QUES. Not long ago I saw the egg of a domestic hen boiled, and when cracked and opened, the following words and figures appeared, perfectly printed on the white of the egg: “War will come in 1932.” As I am a disbeliever in hokum and bunk, I would appreciate information on how this was done? ANS. This sounds like an old hex trick. You can write on the inside of an egg by dissolving 1 ounce of alum in ½ pint of vinegar. With a small pointed brush, outline whatever writing you desire on the shell of the egg with this solution. After the writing has dried thoroughly, boil the egg for 15 minutes. All trace of writing should disappear from the shell, and when the egg is cracked and shelled, the writing will appear on the hard-boiled white.",,witnesses_flat
W12,1930,Popular Science,,"Popular Science, January 1930, p.97",eng,https://archive.org/details/sim_popular-science_1930-01_116_1/page/97/mode/1up,Popular Science,Popular Print Media,,Trick / DIY,Making Writing Appear on Whites of Boiled Eggs.,"Making Writing Appear on Whites of Boiled Eggs. An easy and effective trick is to letter a prophecy on the shell of an egg, using a mixture of an ounce of alum in a half pint of vinegar as the medium and applying it with a fine brush. Place the egg in water and boil for about fifteen minutes. The lettering on the shell will disappear, but on removing the shell, the prophecy will be seen on the hard-boiled white of the egg. By serving hard-boiled eggs thus prepared, you can cause much curiosity and excitement among your friends, especially if some startling prophecy is used.",,witnesses_flat
W13,1936,American Druggist,,"American Druggist, February 1936, p.58+132",eng,https://books.google.de/books?id=4VwgAQAAMAAJ&newbks=1&newbks_redir=0&pg=RA1-PA8#v=onepage&q&f=false,American Druggist,Popular Print Media,,Reader Question,EGG SHELL MARKING... Henley’s Book of Recipes.,"EGG SHELL MARKING. ""Oregon"" used to mark eggs with a mixture of brown sugar syrup and some acid. He has forgotten the formula. The trick, as described in Henley’s Book of Recipes is as follows: [132] Dissolve an ounce of alum in 8 ounces of vinegar and use the solution to “write” upon the egg, using a small pointed camel’s hair brush. Dry the egg and boil it for about 15 minutes. By that time the markings on the shell will have disappeared but when the shell is removed the writing will appear on the hard-boiled white of egg.",,witnesses_flat
W14,1933,Richards Topical Encyclopedia,,"Richards Topical Encyclopedia, vol. 14, p.136",eng,https://archive.org/details/in.ernet.dli.2015.460734/page/n143/mode/1up,Richards Topical Encyclopedia,Encyclopaedia / General Reference,,,THE WARNING BENEATH THE EGG SHELL.,"THE WARNING BENEATH THE EGG SHELL. Mix an ounce of alum with a half pint of vinegar. Then with a fine brush, using the mixture as an ink, write a message—a joke, a prophecy, anything you like—on the shell of an egg. After the egg is boiled in water for about fifteen minutes, the writing will disappear, but your unsuspecting friend who removes the shell will find the message on the hard-boiled egg inside.",,witnesses_flat
W15,1965,Changing Times: The Kiplinger Magazine,,"Changing Times: The Kiplinger Magazine, May 1965, p.16",eng,https://books.google.cz/books?id=7_8DAAAAMBAJ&lpg=PA16&vq=egg&hl=cs&pg=PA16#v=snippet&q=egg&f=false,Changing Times,Popular Print Media,,,EGGS. I have heard that there is a solution...,"EGGS. I have heard that there is a solution that can be used on eggs to produce writing that is invisible until the egg is shelled. What is the recipe? Dissolve one ounce of alum in a half pint of vinegar. Dip a small pointed brush in the mixture and write on the uncooked egg. Let the solution dry thoroughly, then simmer the egg in water for about 15 minutes. The writing will not appear on the egg shell, but when the egg is shelled the message will show up on the egg white.",,witnesses_flat
W16,1965,New York Times,,"New York Times, 29 May 1965, p.14",eng,https://timesmachine.nytimes.com/timesmachine/1965/05/29/106992117.html,New York Times,Popular Print Media,,,Message on an Egg Is Tempting to Child. USDA suggestion.,"Message on an Egg Is Tempting to Child. To increase a child’s consumption of eggs, use “invisible writing,” the United States Department of Agriculture suggests. Secret messages can be painted on the outer shell of eggs before they are hard-cooked, and nothing will be visible until the egg is cooked and the shell removed. The message will be on the hard-cooked egg white. To make the “magic ink,” dissolve one ounce of alum (available in drugstores) in one cup of vinegar. Use a small pointed brush to write on the shell. Let it dry thoroughly and then cook the eggs in simmering water for about 15 minutes. Cool quickly.",,witnesses_flat
W17,1970,Marketing Memos,,"Marketing Memos, Early March 1970, University of California Agricultural Extension, Berkley Calif., p.5",eng,https://babel.hathitrust.org/cgi/pt?id=uc1.c031884416&seq=39,Marketing Memos,Popular Print Media,,,Extension memo recipe for secret egg writing.,Speaking of inscriptions... want to put secret messages inside the egg? Try this. Dissolve one ounce of alum in one cup of vinegar. Dip a small brush in this solution and write messages on the egg shells. Now hard cook the eggs. Cool them quickly without breaking the shells. The secret messages are still secret... they don’t show up until the egg shells are removed.,,witnesses_flat
W18,1973,The New Earth Catalogue,,"The New Earth Catalogue, ed. Scott fra and Gnu Publishing, New York: Putnam Berkley Press, 1973, p.143",eng,https://www.google.de/books/edition/_/2z5SAQAAIAAJ?hl=en&gbpv=0&bsq=new%20earth%20catalogue%20egg%20alum,The New Earth Catalogue,Popular Print Media,,,Writing Under Shell of an Egg... “God says you’ve just killed...”,"Writing Under Shell of an Egg. Dissolve one ounce of alum in a half pint of vinegar and use a small brush to paint whatever you wish to appear on the shell of the egg. After the egg has dried completely, boil it for 15 minutes. All tracings will disappear from the outside, but when the egg is cracked open the writings will appear on the white of the egg. An interesting application is to write things like: “God says you’ve just killed a baby chicken”, on your breakfast center egg.",,witnesses_flat
W19,1940,Bernard Newman,,"Bernard Newman, Secrets of deu Espionage, 1940, Northumberland Press, p.87-8",eng,https://books.google.de/books?id=aIp_EAAAQBAJ&newbks=1&newbks_redir=0&lpg=PT72&dq=%E2%80%9CAlum%E2%80%9D%20%E2%80%9Cegg%E2%80%9D%20%E2%80%9Cvinegar%E2%80%9D&pg=PT72#v=onepage&q=%E2%80%9CAlum%E2%80%9D%20%E2%80%9Cegg%E2%80%9D%20%E2%80%9Cvinegar%E2%80%9D&f=false,Secrets of Espionage,Espionage / Cryptography (History),,,Spy communication with eggs; alum and vinegar recipe explained.,"It is scarcely possible to mention any household article, or even item of food, which has not at some time or other been used as a method of espionage communication. Eggs figure more than once in the spy records of Europe. There was one case of a lady who lived in France, but only a mile or two away from the Swiss frontier: legitimately enough, she used to have her eggs sent from a Swiss farm—in times of peace, movement over friendly frontiers is easy enough, and, a frontier being an artificial line, it is quite natural that local people should move freely from one side to the other. Unfortunately for the lady, the French counter-espionage service grew suspicious. She had done nothing to excite their curiosity, but a French agent in Switzerland had discovered that the Swiss farmer was a German whose activities had been known in another connection some years before. For weeks, however, they were unable to discover any illicit intercourse—except for the consignment of eggs and payment for them, there seemed to be no communication. The cartons in which the eggs were delivered were examined by French agents. At last, in despair, it was decided to examine the eggs themselves. Within a few hours laboratory tests had revealed their secret, for when they were dipped in a certain solution of gallnut, writing was disclosed on their shells; the ink was identified as a preparation of thiol-gall. Yet this method was primitive compared with another across which I have chanced on more than one occasion. I can still recall the amazement of a veteran counter-espionage officer when, peeling the shell from a hard-boiled egg, he noticed hieroglyphics in black on the white of the egg, which eventually deciphered themselves into letters. Yet the device is simple enough—and for that matter by no means modern. [recipe] After the egg is hard-boiled and has been allowed to cool, the spy sets a small portion of alum and vinegar—but, it will be noted, homely articles arousing no suspicion. The alum is the more unusual, but a spy can legitimately carry an antiseptic block with which to rub his chin when he cuts himself while shaving. The alum and vinegar are mixed together to the consistency of ink; then the message is written on the outside of the shell. As this unique invisible ink dries, there is nothing to be seen; but a few hours later the message (which must be written in large characters) will appear on the white of the egg. A chemist friend of mine has given me an explanation of this apparently remarkable phenomenon. There is, of course, iron in alum—ferrous ammonium sulphate: commercial vinegar (acetic acid) is just strong enough to perforate the egg shell (calcium carbonate) carrying with it a little iron in solution. After the acid has eaten through the shell, it reaches the white of the egg. This contains sulphur—as you will have remarked when smelling a bad egg: the sulphur combines with the iron in solution to form iron sulphide, which is black. [/recipe]",,witnesses_flat
W20,1967,David Kahn,,"The Codebreakers: The Story of Secret Writing, 1967, pp.137–138",eng,,The Codebreakers,Espionage / Cryptography (History),,Book XVI gave numerous recipes for secret ink and for such tricks as writing invisibly on an egg,Giovanni Battista Porta was born in Naples in 1535 \[…] Book XVI gave numerous recipes for secret ink and for such tricks as writing invisibly on an egg,"Giovanni Battista Porta was born in Naples in 1535 […] at 22, published his first book, a study of oddities and scientific curiosa entitled Magia naturalis. [...] An expanded version of the Magia naturalis, in 20 books, recorded many of the experiments of the Otiosi and, as popular as the original, was translated and was reprinted no fewer than 27 times. […] Book XVI gave numerous recipes for secret ink and for such tricks as writing invisibly on an egg […].",,witnesses_flat
